Plate Name,Dye,Dye [concentration],Batch,Percent Replicating,Percent Matching
BR00112197,DNA,Hoechst [5µg/mL]*,Stain2,0.6333333333333333,0.20930232558139536
BR00112201,DNA,DAPI [1.5µM],Stain2,0.5888888888888889,0.18604651162790697
BR00112202,DNA,Hoechst [1 µg/mL]+,Stain2,0.6555555555555556,0.23255813953488372
BR00112197,Mito,MitoTracker Deep Red [500nM]*+,Stain2,0.6222222222222222,0.20930232558139536
BR00112204,Mito,MitoTracker Deep Red [1500nM],Stain2,0.6,0.18604651162790697
BR00115134,ER,ConcanavalinA [100 µg/mL]*,Stain3,0.5555555555555556,0.20930232558139536
BR00115129,ER,ConcanavalinA [50 µg/mL],Stain3,0.6333333333333333,0.23255813953488372
BR00115127,ER,ConcanavalinA [25 µg/mL],Stain3,0.5888888888888889,0.18604651162790697
BR00115126,ER,ConcanavalinA [10 µg/mL],Stain3,0.6111111111111112,0.23255813953488372
BR00115125,ER,ConcanavalinA [5 µg/mL]+,Stain3,0.6222222222222222,0.2558139534883721
BR00120523,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5777777777777777,0.23255813953488372
BR00120524,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5333333333333333,0.18604651162790697
BR00120525,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5333333333333333,0.23255813953488372
BR00120526,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5777777777777777,0.20930232558139536
BR00120527,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5777777777777777,0.27906976744186046
BR00120528,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5333333333333333,0.23255813953488372
BR00120529,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.6,0.2558139534883721
BR00120530,ER,ConcanavalinA [100 µg/mL]*,Stain5,0.5333333333333333,0.20930232558139536
BR00120531,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5444444444444444,0.27906976744186046
BR00120532,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5555555555555556,0.23255813953488372
BR00120533,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5111111111111111,0.20930232558139536
BR00120534,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5111111111111111,0.20930232558139536
BR00120535,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5,0.23255813953488372
BR00120536,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5777777777777777,0.2558139534883721
BR00120537,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5666666666666667,0.2558139534883721
BR00120538,ER,ConcanavalinA [5 µg/mL]+,Stain5,0.5444444444444444,0.18604651162790697
BR00120523,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5888888888888889,0.23255813953488372
BR00120524,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5333333333333333,0.18604651162790697
BR00120525,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5333333333333333,0.23255813953488372
BR00120526,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5777777777777777,0.23255813953488372
BR00120527,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5777777777777777,0.27906976744186046
BR00120528,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5333333333333333,0.23255813953488372
BR00120529,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.6,0.2558139534883721
BR00120530,ER & RNA,ConcanavalinA [100 µg/mL]* & Syto14 [3 µM]*,Stain5,0.5444444444444444,0.20930232558139536
BR00120270,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5888888888888889,0.2558139534883721
BR00120271,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5888888888888889,0.27906976744186046
BR00120272,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5444444444444444,0.2558139534883721
BR00120273,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5444444444444444,0.2558139534883721
BR00120274,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5111111111111111,0.27906976744186046
BR00120275,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5444444444444444,0.23255813953488372
BR00120276,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5111111111111111,0.23255813953488372
BR00120277,ER & RNA,ConcanavalinA [5 µg/mL]+ & Syto14 [6 µM]+,Stain5,0.5333333333333333,0.20930232558139536
BR00116632,ER & Actin,ConcanavalinA [100 µg/mL]* & Phalloidin [16.5 nM],Stain4,0.6111111111111112,0.20930232558139536
BR00116633,ER & Actin,ConcanavalinA [100 µg/mL]* & Phalloidin [16.5 nM],Stain4,0.5777777777777777,0.23255813953488372
BR00116634,ER & Actin,ConcanavalinA [100 µg/mL]* & Phalloidin [16.5 nM],Stain4,0.5555555555555556,0.20930232558139536
BR00116625,ER & Actin,ConcanavalinA [50 µg/mL] & Phalloidin [8.25 nM]+,Stain4,0.5777777777777777,0.20930232558139536
BR00116627,ER & Actin,ConcanavalinA [50 µg/mL] & Phalloidin [8.25 nM]+,Stain4,0.5555555555555556,0.20930232558139536
BR00116628,ER & Actin,ConcanavalinA [50 µg/mL] & Phalloidin [8.25 nM]+,Stain4,0.5888888888888889,0.18604651162790697
BR00116632,Actin,Phalloidin [16.5 nM],Stain4,0.6111111111111112,0.20930232558139536
BR00116633,Actin,Phalloidin [16.5 nM],Stain4,0.5777777777777777,0.23255813953488372
BR00116634,Actin,Phalloidin [16.5 nM],Stain4,0.5666666666666667,0.20930232558139536
BR00116629,Actin,Phalloidin [8.25 nM]+,Stain4,0.6222222222222222,0.23255813953488372
BR00116630,Actin,Phalloidin [8.25 nM]+,Stain4,0.6333333333333333,0.23255813953488372
BR00116631,Actin,Phalloidin [8.25 nM]+,Stain4,0.6222222222222222,0.20930232558139536
BR00115134,Actin & Golgi-Plasma Membrane,Phalloidin [16.5 nM] & Wheat Germ Agglutinin [1.5 µg/mL]*+,Stain3,0.5555555555555556,0.20930232558139536
BR00115130,Actin & Golgi-Plasma Membrane,Phalloidin [8.25 nM]+ & Wheat Germ Agglutinin [0.75 µg/mL],Stain3,0.3333333333333333,0.20930232558139536
BR00115128,Actin & Golgi-Plasma Membrane,Phalloidin [4.125 nM]+ & Wheat Germ Agglutinin [0.375 µg/mL],Stain3,0.5777777777777777,0.20930232558139536
